Frequency(Hz)	RCS(m²)
13870801603.206411	0.0023864773160871826
13910861723.446894	0.0023625339092290653
13950921843.687374	0.002334398065213232
13990981963.927855	0.0023024319291198732
14031042084.168335	0.002267040651146746
14071102204.408817	0.0022286673389105708
14111162324.649298	0.0021877875862324984
14151222444.889778	0.0021449036419892934
14191282565.13026	0.002100538287360523
14231342685.37074	0.0020552284938931136
14271402805.611221	0.002009518938122883
14311462925.851702	0.001963955450928748
14351523046.092184	0.0019190784812488342
14391583166.332664	0.0018754166541766282
14431643286.573145	0.0018334805027155664
14471703406.813627	0.0017937564505672737
14511763527.054108	0.0017567011202526963
14551823647.294588	0.0017227360366409649
14591883767.535069	0.0016922427906432434
14631943887.77555	0.0016655587214981704
14672004008.016031	0.0016429731688538402
14712064128.256512	0.0016247243378646032
14752124248.496994	0.0016109968119352028
14792184368.737474	0.0016019197387232335
14832244488.977955	0.0015975657057353233
14872304609.218435	0.0015979503124986868
14912364729.458918	0.0016030324370327389
14952424849.699398	0.0016127151853469952
14992484969.939878	0.0016268475040996549
15032545090.180359	0.0016452264284919792
15072605210.420841	0.0016675999300543789
15112665330.661322	0.0016936703222805336
15152725450.901802	0.0017230981761454866
15192785571.142284	0.0017555066924361776
15232845691.382765	0.0017904864735427488
15272905811.623245	0.0018276006339015608
15312965931.863726	0.0018663901856263683
15353026052.104208	0.0019063796339826209
15393086172.344688	0.0019470827162123875
15433146292.585169	0.0019880082167621936
15473206412.825651	0.0020286657921611785
15513266533.066132	0.0020685717396010765
15553326653.306612	0.002107254644647935
15593386773.547092	0.002144260845436921
15633446893.787575	0.0021791596531432846
15673507014.028055	0.002211548271465691
15713567134.268536	0.00224105636129093
15753627254.509018	0.002267350200621578
15793687374.749498	0.002290136394232974
15833747494.989979	0.002309165092374102
15873807615.23046	0.002324232683125563
15913867735.470942	0.002335183928758239
15953927855.711422	0.0023419135225706722
15993987975.951902	0.0023443670491829706
16034048096.192383	0.0023425413380794313
16074108216.432865	0.0023364842072574866
16114168336.673346	0.00232629360107948
16154228456.913826	0.0023121161337464847
16194288577.154308	0.0022941450571197113
16234348697.394789	0.002272617678794948
16274408817.63527	0.002247812263273405
16314468937.87575	0.0022200444556512793
16354529058.116232	0.0021896632733523456
16394589178.356712	0.002157046716942096
16434649298.597193	0.0021225970558859408
16474709418.837675	0.0020867358491568747
16514769539.078156	0.002049898763786855
16554829659.318636	0.002012530256733666
16594889779.559116	0.001975078186766824
16634949899.799599	0.0019379884234464345
16675010020.04008	0.001901699519684928
16715070140.28056	0.0018666375128709532
16755130260.521042	0.0018332109171421797
16795190380.761522	0.0018018059661839933
16835250501.002003	0.0017727821619807405
16875310621.242483	0.0017464681803413772
16915370741.482965	0.0017231581788617284
16955430861.723446	0.0017031085473660057
16995490981.963926	0.0016865351348956256
17035551102.204409	0.0016736109810793626
17075611222.44489	0.0016644645733219037
17115671342.68537	0.0016591786447733602
17155731462.92585	0.0016577895215722895
17195791583.166332	0.0016602870214582756
17235851703.40681	0.0016666148995902708
17275911823.647293	0.001676671831335575
17315971943.887775	0.0016903129159599969
17356032064.128254	0.001707351679586194
17396092184.368736	0.0017275625505316426
17436152304.60922	0.0017506837752181627
